no,space_name,class,is_parking,matched_keywords,n_rows,area_sum_m2
90052,"계단실:11.64,주차장(연면적제외):75.57",비공조,Y,계단|계단실|주차|주차장|연면적제외|면적제외,1,87.2
90053,"다세대주택(2세대):96.85,주차장:28.86",비공조,Y,주차|주차장,1,125.7
90054,"계단실,관리사무실,경비실",비공조,N,계단|계단실,1,102.3
90055,"사무실,관리실,계단실",비공조,N,계단|계단실,1,238.3
90056,"계단실,승강기,화장실,홀,복도,감시제어반실,창고",비공조,N,계단|계단실|승강기|화장실|복도,1,28.4
90057,철공소주차장,비공조,Y,주차|주차장,1,214.1
90058,"기계공조실,전기실,발전기실",비공조,N,기계|전기실|전기|발전|공조실,1,514.1
90059,"기계공조실,계단실(연면적제외)",비공조,N,계단|계단실|기계|공조실|연면적제외|면적제외,1,118.7
90060,"다가구주택:49.16(1가구),주차장:44.41",비공조,Y,주차|주차장,1,93.6
90061,"방,거실,화장실(2가구)",비공조,N,화장실,1,95.3
90062,"방,거실,화장실(1가구)",비공조,N,화장실,1,114.8
90063,제2종근린생활시설(수리점-옥내주차장),비공조,Y,주차|주차장,1,16.1
90064,"복리시설(주민공동시설,mdf실,화장실)",비공조,N,화장실|mdf,1,88.4
90065,"아파트(계단실,elev.홀)",비공조,N,계단|계단실|elev,1,47.8
90066,"부대시설(기계실,발전기실,펌프실)",비공조,N,기계실|기계|전기실|전기|발전|펌프,1,254.8
90067,ev기계실.물탱크실(연면적제외),비공조,N,기계실|기계|물탱|물탱크|탱크|연면적제외|면적제외,1,21.1
90068,"계단실,엘리베이터실,관리실",비공조,N,계단|계단실|엘리베이터,1,50.3
90069,"계단탑,물탱크실,엘리베이터탑(연면적제외)",비공조,N,계단|계단탑|엘리베이터|물탱|물탱크|탱크|연면적제외|면적제외,1,43.0
90070,오피스텔(자주식주차장),비공조,Y,주차|주차장,1,1051.1
90071,"공조실,계단실,elev기계실(연면적제외)",비공조,N,계단|계단실|elev|기계실|기계|공조실|연면적제외|면적제외,1,250.2
90072,"발전기실,통신실(용적율산정면적제외)",비공조,N,전기실|전기|발전|통신실|면적제외,1,60.5
90073,"전기실,발전기실,저수조관리층",비공조,N,전기실|전기|발전|저수조|수조,1,318.9
90074,"계단탑(바닥면적,연면적제외)",비공조,N,계단|계단탑|연면적제외|면적제외,1,5.5
90075,관리실(방재실),비공조,N,방재실,1,15.2
90076,"전기실,기계실,발전기실,휀룸,창고",비공조,N,기계실|기계|전기실|전기|발전|휀,1,267.6
90077,"게단실,홀,elev,기계실(연면적제외)",비공조,N,게단|elev|기계실|기계|연면적제외|면적제외,1,136.9
90078,"게단실,홀,전기실(연면적제외)",비공조,N,게단|전기실|전기|연면적제외|면적제외,1,146.3
90079,"업무시설(오피스텔6호),창고,통신실,펌프실2",비공조,N,펌프|통신실,1,324.6
90080,"기계,전기,방재실",비공조,N,기계|전기|방재실,1,65.6
90081,근린생활시설(지하연결통로),비공조,N,통로,1,411.6
